status,auction_date,property_type,location_detail,lender,reserve_price_inr,emd_inr,area,possession,notes,source_url
UPCOMING,2026-10-29,Residential flat,"202 Prism Heights, Katargam, Surat",ICICI Bank,5750000,,47 sq.mt (per listing; verify),,"EMD deadline 28-Oct-2026. One listing shows EMD ₹2.76 L, which does not match 10% of ₹57.5 L; the ₹2.76 L EMD may belong to a second ICICI Katargam unit on the same date. Verify on ICICI notice.",https://cityair.in/auction-flat-for-sale-in-katargam-surat-by-icici-bank-147046.html
UPCOMING,2026-10-29,Residential (2nd unit),Katargam,ICICI Bank,,130000-276000 (range seen),,,"Search results show Katargam residential EMDs of ₹1.30 L to ₹2.76 L due 28-Oct-2026, so implied reserves are about ₹13 L to ₹27.6 L. Exact unit not confirmed.",https://bankauctiondeals.com/properties/state/gujarat/surat
PAST - watch for re-auction,2026-08-10,Residential flat,Katargam (borrower: M/s Jiya Eco Products Ltd),State Bank of India,3100000,310000,,,"SARFAESI auction, 11:00-16:00. Probably the same house as the 30-Jun-2026 SBI listing re-auctioned at about 9% lower reserve (₹34 L to ₹31 L); not confirmed. SBI terms PDF available.",https://sbi.bank.in/documents/39129/147733ea-cd63-d417-2ba4-7b5473a0e87e?+Conditions+for+Auction+on+10.08.2026+Jiya+Products+Ltd.pdf=
PAST - watch for re-auction,2026-08-07,Shop,"Gopal Plaza, Katargam, Surat",Standard Chartered,2317968,231797,,,"Bid increment ₹1,00,000",https://findauction.in/auction/standardcharteredbank/shop-in-gopal-plaza-katargam-surat-1724620
PAST - watch for re-auction,2026-07-31,Bungalow,Katargam (likely Pushpkunj CHS),IDFC FIRST Bank,26950947,,,,"Earlier listed 16-Apr-2026 at ₹2,99,45,498, so the reserve was cut about 10% after a failed round",https://findauction.in/auction/idfcfirstbank/bungalow-in-katargam-surat-1714543
PAST - watch for re-auction,2026-07-30,Office,Katargam,Pegasus Assets Reconstruction (ARC),1785600,,,,"ARC sale. Check the dues and litigation history",https://findauction.in/auction/pegasusarc/office-in-katargam-surat-1693038
PAST - watch for re-auction,2026-07-20,Flat,Katargam,Piramal Capital & Housing Finance,603000,,,,"Very low reserve for Katargam. Likely a small or old unit or a partial interest; inspect before bidding",https://findauction.in/auction/piramalfinance/flat-in-katargam-surat-1725526
PAST - watch for re-auction,2026-07-19,Non-agricultural plot,Katargam,U GRO Capital,2900000,,,,"NA plot. Verify the 7/12 extract and NA order",https://findauction.in/auction/ugrocapital/non-agricultural-plot-in-katargam-surat-1687867
PAST - watch for re-auction,2026-06-30,Individual house,Katargam,State Bank of India,3400000,340000,540 sq ft,Physical,"Physical possession (lower risk). See the 10-Aug entry for a probable re-listing",https://findauction.in/auction/sbi/individual-house-in-katargam-surat-1660115
PAST,2026-04-16,Bungalow,"Pushpkunj CHS, Katargam",IDFC FIRST Bank,29945498,,,,"Superseded by the 31-Jul re-auction",https://findauction.in/auction/idfcfirstbank/bungalow-in-pushpkunj-chs-katargam-surat-1600142
PAST,2026-03-09,Shop,"Silverstone Arcade, Katargam",Cosmos Bank,3350000,,,,,https://findauction.in/auction/cosmosbank/shop-in-silverstone-arcade-katargam-surat-1516544
PAST,2026-01-05,Flat,Katargam,Bajaj Housing Finance,1030000,,,,,https://findauction.in/auction/bajajhousingfinance/flat-in-katargam-surat-1470307
